robot_wr,robot_wl,robot_wr_ref,robot_wl_ref,robot_counter,encoder_right,encoder_left
0,0,0,0,53353,0,0
0,0,0,0,13924,0,0
0,0,0,0,32288,0,0
0,0,0,0,41182,0,0
0,0,0,0,50076,0,0
0,0,0,0,58970,0,0
0,0,0,0,2328,0,0
0,0,0,0,11223,0,0
0,0,0,0,20117,0,0
0,0,0,0,37905,0,0
0,0,0,0,46799,0,0
0,0,0,0,64587,0,0
0,0,0,0,7945,0,0
0,0,0,0,16840,0,0
0,0,0,0,25734,0,0
0,0,0,0,34628,0,0
0,0,0,0,52416,0,0
0,0,0,0,4668,0,0
0,0,0,0,13562,0,0
0,0,0,0,22456,0,0
0,0,0,0,31351,0,0
0,0,0,0,40245,0,0
0,0,0,0,58033,0,0
0,0,0,0,1391,0,0
0,0,0,0,19179,0,0
0,0,0,0,28073,0,0
0,0,0,0,36968,0,0
0,0,0,0,45862,0,0
0,0,0,0,54756,0,0
0,0,0,0,63650,0,0
0,0,0,0,7008,0,0
0,0,0,0,24796,0,0
0,0,0,0,33690,0,0
0,0,0,0,51479,0,0
0,0,0,0,60373,0,0
0,0,0,0,3731,0,0
0,0,0,0,12625,0,0
0,0,0,0,21519,0,0
0,0,0,0,30413,0,0
0,0,0,0,39307,0,0
0,0,0,0,48201,0,0
0,0,0,0,57096,0,0
0,0,0,0,454,0,0
0,0,0,0,18242,0,0
0,0,0,0,27136,0,0
0,0,0,0,36030,0,0
0,0,0,0,44924,0,0
0,0,0,0,53818,0,0
0,0,0,0,62712,0,0
0,0,0,0,6071,0,0
0,0,0,0,14965,0,0
0,0,0,0,32753,0,0
0,0,0,0,50541,0,0
0,0,0,0,59435,0,0
0,0,0,0,2793,0,0
0,0,0,0,11688,0,0
0,0,0,0,20582,0,0
0,0,0,0,38370,0,0
0,0,0,0,56158,0,0
0,0,0,0,65052,0,0
0,0,0,0,8410,0,0
0,0,0,0,17304,0,0
0,0,0,0,26199,0,0
0,0,0,0,35093,0,0
0,0,0,0,43987,0,0
0,0,0,0,52881,0,0
0,0,0,0,5133,0,0
0,0,0,0,22921,0,0
0,0,0,0,31816,0,0
0,0,0,0,40710,0,0
0,0,0,0,49604,0,0
0,0,0,0,58498,0,0
0,0,0,0,10750,0,0
0,0,0,0,19644,0,0
0,0,1.6,1.6,37432,0,0
0,0,1.6,1.6,46327,0,0
0.0336411,0,1.6,1.6,55221,1,0
0.0306101,0.0336411,1.6,1.6,64115,1,1
0.0614971,0.064255,1.6,1.6,7473,2,2
0.0559565,0.0584658,1.6,1.6,16367,2,2
0.050915,0.0868394,1.6,1.6,25261,2,4
0.0421537,0.139179,1.6,1.6,43049,2,6
0.0421537,0.139179,1.6,1.6,51944,3,6
0.0596049,0.166068,1.6,1.6,4196,3,8
0.0878757,0.184747,1.6,1.6,13090,4,9
0.0727545,0.183566,1.6,1.6,30878,4,10
0.0998406,0.167028,1.6,1.6,39772,5,10
0.124486,0.151979,1.6,1.6,48666,6,10
0.146912,0.138286,1.6,1.6,57560,7,10
0.185883,0.114491,1.6,1.6,9813,9,10
0.202777,0.104175,1.6,1.6,18707,10,10
0.232135,0.0862493,1.6,1.6,36495,12,11
0.278502,0.0784785,1.6,1.6,45389,14,11
0.25341,0.0714079,1.6,1.6,54283,14,11
0.26422,0.0986154,1.6,1.6,63177,15,12
0.274056,0.0897305,1.6,1.6,6536,16,12
0.226897,0.07429,1.6,1.6,24324,16,12
0.187854,0.0615065,1.6,1.6,42112,16,12
0.20457,0.055965,1.6,1.6,51006,17,12
0.186139,0.0845638,1.6,1.6,59900,17,13
0.169368,0.0769449,1.6,1.6,3258,17,13
0.154109,0.0700124,1.6,1.6,12152,17,13
0.173862,0.0973418,1.6,1.6,21047,18,14
0.158197,0.0885717,1.6,1.6,29941,18,14
0.143944,0.0805917,1.6,1.6,38835,18,14
0.183426,0.0667238,1.6,1.6,56623,20,14
